DATE_KEY,Year,Quarter,Month,Day,Sum of DAY,Sum of MONTH,MONTH_NAME,Sum of QUARTER,Sum of YEAR,DAY_NAME
8728a5e296f39e49d2fa74c31820e99f,2013,Qtr 4,November,10,10,11,Novth,4,2013,Day
87553261d36dba5a0bbb0f1d4027c7b7,2011,Qtr 1,February,4,4,2,Febth,1,2011,Day
877a9aa814260fc4c3d24bc245047f86,2011,Qtr 2,June,5,5,6,Junth,2,2011,Day
8799729d3a89b836b7fb8096b7f545c8,2012,Qtr 1,February,12,12,2,Febth,1,2012,Day
87d4f54c086f76c98b608b3ad8c4f65f,2012,Qtr 3,September,30,30,9,Septh,3,2012,Day
88077cf01a3e17831c2d0bcca5897c5b,2013,Qtr 4,December,26,26,12,Decth,4,2013,Day
883b9b4170853b321c03290f64ba199f,2013,Qtr 3,July,4,4,7,Julth,3,2013,Day
88adb3ec0d383666ee2acd29f43e3429,2012,Qtr 2,June,29,29,6,Junth,2,2012,Day
88b82588375bd49ab9a4c177ecf7af7b,2012,Qtr 3,August,29,29,8,Augth,3,2012,Day
88d8e3ff674b1514a19b24621707f0d9,2014,Qtr 1,January,19,19,1,Janth,1,2014,Day
88e79d6e34505f780b4021e0777bcdc0,2011,Qtr 4,October,19,19,10,Octth,4,2011,Day
88f50aa0771fa4f938f7b54792e066c8,2013,Qtr 1,January,24,24,1,Janth,1,2013,Day
8920fd63645007b243abb750709b1172,2013,Qtr 4,December,16,16,12,Decth,4,2013,Day
892aa61c5dad53571248cc492fa50176,2012,Qtr 4,December,30,30,12,Decth,4,2012,Day
89426de0285546a41a891a5ec5aae6ae,2011,Qtr 2,April,17,17,4,Aprth,2,2011,Day
8a2170b82ac0269686d99172f5ebc133,2011,Qtr 1,January,2,2,1,Janth,1,2011,Day
8a35f63c875d260642a69f75d4eee5b8,2011,Qtr 1,January,22,22,1,Janth,1,2011,Day
8a5d7ee8a6750efd5364f3ccd8e7ea1b,2011,Qtr 4,December,17,17,12,Decth,4,2011,Day
8a9e9eb9bf34bfb298138c0b091eaf0a,2012,Qtr 3,August,18,18,8,Augth,3,2012,Day
8b2c1dc879653ef0a877850ef4a01f47,2012,Qtr 1,March,17,17,3,Marth,1,2012,Day
8b2e1fff3ce3e2505a49fe7473894072,2011,Qtr 1,January,16,16,1,Janth,1,2011,Day
8b4b8fc84396c30bd5bacc7370e1491c,2012,Qtr 3,July,22,22,7,Julth,3,2012,Day
8b9fe4b34e3c54f08bfcac3d9691e260,2013,Qtr 3,August,26,26,8,Augth,3,2013,Day
8babade0595c11e14dd89058a850f2cd,2014,Qtr 1,January,6,6,1,Janth,1,2014,Day
8bb6e395a61f435871f799e706173295,2011,Qtr 1,January,20,20,1,Janth,1,2011,Day
8bcf785b838fcdc4c1567a41e1906287,2012,Qtr 1,February,29,29,2,Febth,1,2012,Day
8bf3f2187c9d8d382ac1537b53267abc,2011,Qtr 2,April,21,21,4,Aprth,2,2011,Day
8c4ac29dd41a3906a2513ceafeeb285c,2011,Qtr 2,May,25,25,5,Mayth,2,2011,Day
